Day,S,E,I,R
0,19968,12,16,4
1,19949,28,17,6
2,19928,44,22,6
3,19909,54,29,8
4,19882,71,36,11
5,19853,82,51,14
6,19809,96,71,24
7,19756,122,87,35
8,19677,164,111,48
9,19576,228,141,55
10,19453,287,188,72
11,19292,357,252,99
12,19079,471,319,131
13,18781,631,423,165
14,18434,792,561,213
15,17984,1020,708,288
16,17436,1266,896,402
17,16712,1643,1115,530
18,15885,2011,1425,679
19,14885,2440,1796,879
20,13719,2979,2204,1098
21,12447,3416,2744,1393
22,11039,3824,3426,1711
23,9453,4356,4036,2155
24,7944,4675,4701,2680
25,6531,4769,5364,3336
26,5231,4734,6009,4026
27,4079,4551,6531,4839
28,3159,4182,6997,5662
29,2441,3736,7224,6599
30,1843,3307,7329,7521
31,1439,2815,7235,8511
32,1127,2357,7004,9512
33,889,1977,6759,10375
34,710,1626,6404,11260
35,604,1304,6033,12059
36,506,1075,5590,12829
37,445,855,5147,13553
38,410,680,4680,14230
39,414,545,4279,14762
40,409,445,3836,15310
41,410,389,3423,15778
42,415,324,3078,16183
43,422,287,2756,16535
44,429,230,2481,16860
45,462,205,2203,17130
46,494,169,1944,17393
47,524,147,1730,17599
48,553,140,1538,17769
49,607,117,1361,17915
50,639,110,1190,18061
51,687,100,1070,18143
52,726,93,965,18216
53,765,83,875,18277
54,802,78,773,18347
55,836,75,684,18405
56,892,70,612,18426
57,932,68,548,18452
58,985,54,501,18460
59,1050,59,433,18458
60,1103,64,363,18470
61,1153,66,327,18454
62,1218,60,298,18424
63,1283,59,270,18388
64,1352,53,255,18340
65,1397,52,232,18319
66,1444,50,219,18287
67,1507,39,205,18249
68,1558,40,177,18225
69,1620,36,160,18184
70,1662,33,152,18153
71,1718,30,134,18118
72,1779,21,124,18076
73,1842,24,109,18025
74,1912,25,104,17959
75,1980,18,99,17903
76,2043,23,89,17845
77,2100,18,82,17800
78,2151,17,77,17755
79,2212,18,70,17700
80,2272,20,64,17644
81,2314,19,63,17604
82,2360,17,56,17567
83,2404,19,51,17526
84,2450,18,45,17487
85,2507,14,47,17432
86,2553,17,47,17383
87,2601,16,41,17342
88,2654,15,37,17294
89,2690,13,33,17264
90,2729,14,33,17224
91,2774,13,35,17178
92,2818,17,34,17131
93,2867,16,31,17086
94,2909,17,32,17042
95,2947,13,33,17007
96,2995,12,31,16962
97,3054,9,30,16907
98,3094,12,29,16865
99,3144,13,28,16815
100,3193,13,26,16768
101,3242,12,28,16718
102,3286,12,24,16678
103,3325,12,23,16640
104,3379,10,25,16586
105,3424,12,26,16538
106,3470,15,20,16495
107,3511,14,20,16455
108,3562,16,17,16405
109,3627,12,22,16339
110,3663,14,21,16302
111,3710,16,18,16256
112,3762,10,22,16206
113,3819,9,17,16155
114,3853,7,19,16121
115,3900,12,17,16071
116,3947,11,17,16025
117,3992,12,17,15979
118,4027,14,18,15941
119,4081,10,22,15887
120,4120,9,26,15845
121,4172,9,25,15794
122,4203,9,26,15762
123,4258,11,28,15703
124,4298,14,26,15662
125,4342,16,26,15616
126,4369,16,25,15590
127,4401,15,25,15559
128,4443,18,26,15513
129,4485,17,26,15472
130,4531,18,30,15421
131,4572,20,27,15381
132,4614,26,24,15336
133,4650,17,34,15299
134,4684,18,33,15265
135,4718,16,35,15231
136,4754,19,36,15191
137,4794,18,36,15152
138,4833,18,36,15113
139,4875,21,37,15067
140,4908,18,43,15031
141,4951,23,44,14982
142,4989,25,39,14947
143,5028,28,37,14907
144,5063,22,45,14870
145,5095,27,49,14829
146,5136,26,48,14790
147,5155,26,54,14765
148,5190,31,48,14731
149,5220,33,55,14692
150,5259,38,52,14651
151,5297,32,56,14615
152,5312,42,58,14588
153,5332,43,68,14557
154,5356,38,69,14537
155,5379,41,66,14514
156,5398,44,70,14488
157,5412,47,74,14467
158,5438,49,79,14434
159,5481,55,85,14379
160,5507,52,88,14353
161,5537,57,82,14324
162,5566,66,86,14282
163,5594,60,104,14242
164,5619,61,102,14218
165,5637,77,102,14184
166,5658,81,107,14154
167,5664,81,121,14134
168,5675,79,135,14111
169,5691,87,148,14074
170,5699,89,155,14057
171,5706,101,160,14033
172,5716,113,170,14001
173,5734,121,172,13973
174,5745,129,178,13948
175,5737,135,201,13927
176,5716,148,213,13923
177,5712,163,225,13900
178,5713,162,235,13890
179,5692,180,239,13889
180,5683,177,252,13888
181,5651,180,277,13892
182,5637,192,287,13884
183,5618,212,306,13864
184,5588,224,327,13861
185,5560,232,349,13859
186,5526,241,363,13870
187,5465,271,383,13881
188,5424,273,402,13901
189,5379,279,432,13910
190,5338,294,450,13918
191,5292,305,475,13928
192,5224,315,505,13956
193,5171,322,526,13981
194,5108,341,547,14004
195,5062,342,582,14014
196,5007,340,612,14041
197,4933,362,611,14094
198,4841,397,627,14135
199,4785,404,645,14166
200,4705,422,660,14213
201,4645,414,669,14272
202,4599,402,685,14314
203,4501,422,699,14378
204,4429,420,732,14419
205,4350,442,750,14458
206,4290,443,771,14496
207,4220,436,800,14544
208,4154,437,828,14581
209,4060,472,825,14643
210,3981,471,851,14697
211,3911,444,855,14790
212,3875,421,866,14838
213,3829,412,866,14893
214,3789,399,895,14917
215,3725,402,895,14978
216,3657,428,873,15042
217,3610,431,871,15088
218,3544,442,851,15163
219,3476,434,873,15217
220,3438,418,851,15293
221,3397,402,854,15347
222,3372,408,843,15377
223,3325,430,825,15420
224,3282,434,825,15459
225,3228,432,826,15514
226,3219,381,839,15561
227,3183,373,842,15602
228,3156,362,833,15649
229,3159,352,818,15671
230,3125,358,808,15709
231,3084,358,799,15759
232,3045,358,780,15817
233,3020,358,783,15839
234,3023,347,779,15851
235,3010,310,795,15885
236,2988,306,784,15922
237,2965,323,751,15961
238,2976,306,726,15992
239,2965,303,719,16013
240,2960,318,692,16030
241,2976,292,701,16031
242,2964,291,684,16061
243,2976,289,651,16084
244,2977,286,655,16082
245,2982,286,654,16078
246,3001,266,656,16077
247,3019,233,639,16109
248,3048,236,617,16099
249,3067,232,602,16099
250,3085,226,599,16090
251,3092,236,564,16108
252,3120,222,569,16089
253,3147,213,550,16090
254,3155,212,533,16100
255,3172,220,521,16087
256,3192,221,514,16073
257,3225,229,493,16053
258,3256,202,516,16026
259,3273,216,508,16003
260,3297,222,507,15974
261,3336,215,496,15953
262,3352,229,470,15949
263,3357,235,465,15943
264,3379,224,466,15931
265,3409,227,450,15914
266,3432,208,462,15898
267,3452,221,439,15888
268,3490,202,443,15865
269,3507,207,442,15844
270,3549,197,438,15816
271,3587,211,423,15779
272,3601,222,434,15743
273,3617,227,439,15717
274,3649,221,445,15685
275,3679,224,443,15654
276,3706,223,443,15628
277,3720,222,459,15599
278,3760,225,436,15579
279,3750,241,431,15578
280,3772,228,459,15541
281,3816,209,459,15516
282,3820,215,432,15533
283,3825,201,439,15535
284,3822,229,433,15516
285,3819,243,444,15494
286,3847,246,441,15466
287,3873,244,451,15432
288,3895,239,470,15396
289,3912,236,467,15385
290,3931,217,477,15375
291,3943,239,469,15349
292,3973,231,455,15341
293,3997,220,468,15315
294,4016,226,449,15309
295,4017,245,452,15286
296,4015,262,465,15258
297,4039,257,475,15229
298,4068,258,475,15199
299,4097,244,502,15157
300,4102,273,488,15137
301,4126,272,505,15097
302,4125,294,501,15080
303,4129,280,515,15076
304,4135,282,515,15068
305,4132,274,537,15057
306,4140,272,542,15046
307,4147,300,538,15015
308,4159,284,550,15007
309,4168,300,547,14985
310,4168,294,557,14981
311,4165,291,571,14973
312,4166,316,559,14959
313,4170,325,561,14944
314,4161,335,580,14924
315,4166,323,596,14915
316,4154,335,619,14892
317,4140,346,626,14888
318,4167,309,655,14869
319,4160,329,650,14861
320,4151,323,663,14863
321,4116,356,669,14859
322,4111,356,673,14860
323,4087,369,682,14862
324,4069,375,693,14863
325,4055,387,695,14863
326,4053,380,713,14854
327,4065,370,723,14842
328,4028,375,744,14853
329,4005,380,740,14875
330,3965,395,747,14893
331,3936,420,747,14897
332,3922,405,771,14902
333,3919,393,797,14891
334,3875,417,807,14901
335,3839,425,795,14941
336,3816,414,812,14958
337,3792,417,818,14973
338,3765,420,828,14987
339,3723,418,854,15005
340,3676,437,837,15050
341,3643,414,865,15078
342,3617,402,858,15123
343,3568,423,844,15165
344,3562,387,854,15197
345,3555,377,827,15241
346,3558,367,817,15258
347,3556,385,819,15240
348,3534,393,806,15267
349,3505,388,803,15304
350,3491,380,806,15323
351,3503,369,805,15323
352,3485,378,813,15324
353,3450,392,828,15330
354,3422,403,827,15348
355,3366,397,862,15375
356,3341,410,840,15409
357,3326,400,867,15407
358,3299,408,854,15439
359,3281,432,854,15433
360,3262,420,851,15467
361,3266,399,850,15485
362,3243,405,838,15514
363,3235,405,836,15524
364,3223,385,821,15571
365,3240,372,836,15552
366,3213,384,824,15579
367,3212,356,819,15613
368,3210,374,799,15617
369,3224,350,801,15625
370,3231,349,782,15638
371,3256,330,770,15644
372,3266,320,772,15642
373,3277,330,774,15619
374,3275,336,762,15627
375,3250,348,758,15644
376,3263,347,743,15647
377,3266,336,728,15670
378,3279,332,718,15671
379,3289,330,708,15673
380,3286,340,689,15685
381,3284,331,705,15680
382,3279,339,701,15681
383,3309,325,700,15666
384,3334,305,705,15656
385,3338,333,682,15647
386,3340,325,710,15625
387,3357,318,698,15627
388,3367,320,688,15625
389,3413,300,661,15626
390,3429,297,664,15610
391,3434,307,669,15590
392,3434,312,656,15598
393,3436,295,651,15618
394,3471,269,646,15614
395,3479,294,630,15597
396,3488,305,639,15568
397,3496,318,659,15527
398,3503,313,652,15532
399,3517,321,642,15520
400,3530,293,676,15501
401,3541,292,648,15519
402,3550,278,661,15511
403,3571,288,654,15487
