Day,S,E,I,R
0,19959,21,19,1
1,19937,36,24,3
2,19914,44,37,5
3,19883,63,45,9
4,19849,79,55,17
5,19797,102,77,24
6,19733,128,107,32
7,19630,193,132,45
8,19522,242,172,64
9,19381,302,231,86
10,19191,419,280,110
11,18938,544,369,149
12,18656,675,471,198
13,18269,868,599,264
14,17770,1128,760,342
15,17178,1401,960,461
16,16457,1732,1218,593
17,15617,2092,1540,751
18,14567,2546,1947,940
19,13365,3070,2373,1192
20,12056,3529,2883,1532
21,10705,3927,3473,1895
22,9231,4289,4138,2342
23,7817,4484,4780,2919
24,6359,4711,5363,3567
25,5079,4696,5920,4305
26,4041,4374,6512,5073
27,3113,4101,6852,5934
28,2358,3643,7175,6824
29,1807,3198,7229,7766
30,1390,2745,7179,8686
31,1125,2243,7069,9563
32,898,1871,6728,10503
33,733,1557,6355,11355
34,637,1253,5970,12140
35,539,1021,5506,12934
36,499,795,5095,13611
37,446,656,4656,14242
38,443,532,4167,14858
39,429,438,3735,15398
40,439,343,3318,15900
41,439,292,2947,16322
42,457,257,2613,16673
43,493,209,2322,16976
44,529,184,2064,17223
45,559,154,1847,17440
46,581,153,1611,17655
47,625,132,1432,17811
48,657,129,1269,17945
49,683,114,1142,18061
50,731,95,1031,18143
51,770,97,914,18219
52,818,82,812,18288
53,868,72,734,18326
54,920,69,653,18358
55,987,66,572,18375
56,1034,64,512,18390
57,1079,70,453,18398
58,1131,71,391,18407
59,1173,68,356,18403
60,1216,64,327,18393
61,1255,62,298,18385
62,1315,60,269,18356
63,1367,55,253,18325
64,1431,54,227,18288
65,1491,45,207,18257
66,1538,45,189,18228
67,1603,44,167,18186
68,1652,46,164,18138
69,1708,44,151,18097
70,1755,41,138,18066
71,1811,37,130,18022
72,1862,35,121,17982
73,1919,26,114,17941
74,1974,28,104,17894
75,2040,28,94,17838
76,2086,27,84,17803
77,2131,25,78,17766
78,2192,18,70,17720
79,2260,20,61,17659
80,2327,21,58,17594
81,2377,19,54,17550
82,2430,15,54,17501
83,2486,17,51,17446
84,2538,16,47,17399
85,2591,16,44,17349
86,2646,15,47,17292
87,2705,20,40,17235
88,2760,18,40,17182
89,2809,22,37,17132
90,2864,16,41,17079
91,2911,15,37,17037
92,2960,17,35,16988
93,3004,20,30,16946
94,3050,20,30,16900
95,3105,20,31,16844
96,3166,20,34,16780
97,3203,18,29,16750
98,3251,17,30,16702
99,3295,11,35,16659
100,3334,18,29,16619
101,3367,18,32,16583
102,3416,19,26,16539
103,3452,16,33,16499
104,3504,20,28,16448
105,3546,16,31,16407
106,3584,13,32,16371
107,3632,18,34,16316
108,3680,15,32,16273
109,3722,17,31,16230
110,3759,16,33,16192
111,3800,16,32,16152
112,3848,18,30,16104
113,3886,20,34,16060
114,3926,14,35,16025
115,3971,13,31,15985
116,4020,14,32,15934
117,4060,13,30,15897
118,4100,14,28,15858
119,4146,16,27,15811
120,4191,14,29,15766
121,4238,17,24,15721
122,4283,14,29,15674
123,4335,14,26,15625
124,4379,16,26,15579
125,4429,18,27,15526
126,4463,16,31,15490
127,4495,20,32,15453
128,4523,15,36,15426
129,4551,16,32,15401
130,4577,21,34,15368
131,4615,18,38,15329
132,4660,18,34,15288
133,4703,15,36,15246
134,4745,22,32,15201
135,4775,24,34,15167
136,4823,21,34,15122
137,4870,17,36,15077
138,4900,24,39,15037
139,4932,28,35,15005
140,4959,30,39,14972
141,4999,25,41,14935
142,5025,30,43,14902
143,5065,32,40,14863
144,5116,24,46,14814
145,5155,32,42,14771
146,5193,30,49,14728
147,5222,28,47,14703
148,5246,31,50,14673
149,5282,29,54,14635
150,5317,32,53,14598
151,5359,31,59,14551
152,5391,35,61,14513
153,5430,42,63,14465
154,5480,41,67,14412
155,5515,42,64,14379
156,5534,43,70,14353
157,5559,37,85,14319
158,5589,38,87,14286
159,5610,44,76,14270
160,5630,47,84,14239
161,5653,59,89,14199
162,5680,64,91,14165
163,5699,70,99,14132
164,5728,67,99,14106
165,5750,69,100,14081
166,5768,65,116,14051
167,5789,77,114,14020
168,5801,89,114,13996
169,5832,81,125,13962
170,5850,87,128,13935
171,5866,97,132,13905
172,5882,96,146,13876
173,5876,112,161,13851
174,5874,124,165,13837
175,5882,127,168,13823
176,5896,135,175,13794
177,5887,143,183,13787
178,5881,135,218,13766
179,5867,150,227,13756
180,5858,149,251,13742
181,5846,160,267,13727
182,5831,180,276,13713
183,5800,204,273,13723
184,5774,227,286,13713
185,5739,231,308,13722
186,5718,245,321,13716
187,5682,255,355,13708
188,5627,274,375,13724
189,5581,286,389,13744
190,5510,336,399,13755
191,5459,329,457,13755
192,5404,344,471,13781
193,5363,356,485,13796
194,5285,358,531,13826
195,5213,374,561,13852
196,5151,398,586,13865
197,5082,389,635,13894
198,5025,373,667,13935
199,4939,393,676,13992
200,4859,425,685,14031
201,4772,433,712,14083
202,4691,423,749,14137
203,4576,478,749,14197
204,4504,456,789,14251
205,4414,472,812,14302
206,4304,486,859,14351
207,4185,513,865,14437
208,4111,483,903,14503
209,4045,475,924,14556
210,3954,500,912,14634
211,3877,495,923,14705
212,3784,504,937,14775
213,3712,496,926,14866
214,3647,474,933,14946
215,3575,464,948,15013
216,3498,452,963,15087
217,3432,458,964,15146
218,3378,431,989,15202
219,3306,431,981,15282
220,3257,441,961,15341
221,3207,442,947,15404
222,3161,435,926,15478
223,3124,412,922,15542
224,3076,417,923,15584
225,3016,427,910,15647
226,2975,428,876,15721
227,2962,415,864,15759
228,2934,409,852,15805
229,2910,386,850,15854
230,2895,364,816,15925
231,2875,363,812,15950
232,2862,348,813,15977
233,2841,348,781,16030
234,2839,333,792,16036
235,2817,332,763,16088
236,2813,331,757,16099
237,2799,301,777,16123
238,2790,290,774,16146
239,2802,282,726,16190
240,2809,285,727,16179
241,2818,267,725,16190
242,2845,281,691,16183
243,2861,257,676,16206
244,2876,248,657,16219
245,2880,247,639,16234
246,2883,242,641,16234
247,2907,244,618,16231
248,2921,248,584,16247
249,2947,234,568,16251
250,2951,248,548,16253
251,2994,236,532,16238
252,3004,234,530,16232
253,3017,232,519,16232
254,3071,215,512,16202
255,3105,208,519,16168
256,3113,219,498,16170
257,3125,234,467,16174
258,3172,221,460,16147
259,3217,226,444,16113
260,3253,218,434,16095
261,3291,216,441,16052
262,3306,215,419,16060
263,3336,209,416,16039
264,3343,232,421,16004
265,3368,221,420,15991
266,3387,219,429,15965
267,3417,223,426,15934
268,3460,218,419,15903
269,3483,218,420,15879
270,3493,227,412,15868
271,3543,204,424,15829
272,3559,211,444,15786
273,3580,229,424,15767
274,3599,218,436,15747
275,3622,212,429,15737
276,3662,211,420,15707
277,3697,195,432,15676
278,3740,197,415,15648
279,3759,193,421,15627
280,3792,211,401,15596
281,3822,213,406,15559
282,3854,209,396,15541
283,3898,200,388,15514
284,3943,205,390,15462
285,3982,197,408,15413
286,4000,197,425,15378
287,4036,210,434,15320
288,4045,223,432,15300
289,4062,228,422,15288
290,4084,219,438,15259
291,4112,235,429,15224
292,4139,250,436,15175
293,4144,246,466,15144
294,4166,244,466,15124
295,4175,249,472,15104
296,4196,245,474,15085
297,4189,242,505,15064
298,4190,267,491,15052
299,4202,280,498,15020
300,4204,283,509,15004
301,4224,266,518,14992
302,4238,274,511,14977
303,4239,264,511,14986
304,4237,269,541,14953
305,4249,263,554,14934
306,4247,290,564,14899
307,4214,300,578,14908
308,4214,302,581,14903
309,4182,351,577,14890
310,4188,341,591,14880
311,4192,338,613,14857
312,4161,364,612,14863
313,4147,341,652,14860
314,4110,359,651,14880
315,4087,354,650,14909
316,4082,330,655,14933
317,4080,340,655,14925
318,4084,350,633,14933
319,4087,327,648,14938
320,4048,370,646,14936
321,4038,377,659,14926
322,4008,392,673,14927
323,4001,395,697,14907
324,3981,389,717,14913
325,3967,384,728,14921
326,3951,371,737,14941
327,3915,377,718,14990
328,3901,371,743,14985
329,3858,396,760,14986
330,3840,379,759,15022
331,3815,405,760,15020
332,3804,382,787,15027
333,3787,385,818,15010
334,3774,390,824,15012
335,3756,384,821,15039
336,3714,391,822,15073
337,3681,405,819,15095
338,3650,424,816,15110
339,3625,416,818,15141
340,3606,420,818,15156
341,3553,445,815,15187
342,3546,428,829,15197
343,3509,415,854,15222
344,3481,398,864,15257
345,3450,388,887,15275
346,3436,397,873,15294
347,3397,406,867,15330
348,3390,388,878,15344
349,3396,384,862,15358
350,3406,373,854,15367
351,3414,373,833,15380
352,3372,394,822,15412
353,3366,410,801,15423
354,3366,389,793,15452
355,3357,380,804,15459
356,3339,386,828,15447
357,3344,380,812,15464
358,3301,383,823,15493
359,3297,376,815,15512
360,3272,381,820,15527
361,3277,363,800,15560
362,3282,332,807,15579
363,3301,339,785,15575
364,3294,346,773,15587
365,3298,338,755,15609
366,3330,309,750,15611
367,3346,308,744,15602
368,3369,318,717,15596
369,3361,335,718,15586
370,3352,338,709,15601
371,3352,352,705,15591
372,3375,341,714,15570
373,3422,304,720,15554
374,3422,313,708,15557
375,3420,323,688,15569
376,3408,354,678,15560
377,3441,338,675,15546
378,3471,321,668,15540
379,3499,312,677,15512
380,3517,318,675,15490
381,3532,318,673,15477
382,3525,325,673,15477
383,3558,303,667,15472
384,3577,310,657,15456
385,3615,295,640,15450
386,3629,315,620,15436
387,3660,293,640,15407
388,3676,290,645,15389
389,3727,262,622,15389
390,3728,290,616,15366
391,3744,314,584,15358
392,3752,334,577,15337
393,3775,319,601,15305
394,3775,319,615,15291
395,3783,306,629,15282
396,3791,306,631,15272
397,3799,302,655,15244
398,3800,317,652,15231
399,3805,309,661,15225
400,3813,323,674,15190
401,3826,313,674,15187
402,3828,319,658,15195
403,3835,311,665,15189
404,3825,322,665,15188
405,3838,327,664,15171
406,3844,318,663,15175
407,3842,327,651,15180
408,3806,364,638,15192
409,3785,355,660,15200
410,3774,364,668,15194
411,3768,364,686,15182
412,3754,371,686,15189
413,3737,362,676,15225
414,3723,362,688,15227
415,3738,352,699,15211
416,3747,333,722,15198
417,3741,340,722,15197
418,3744,348,716,15192
419,3736,349,704,15211
420,3731,351,709,15209
421,3742,352,706,15200
422,3753,347,699,15201
423,3724,355,698,15223
424,3696,349,722,15233
425,3708,360,710,15222
426,3681,373,723,15223
427,3674,391,715,15220
428,3673,377,736,15214
429,3671,367,746,15216
430,3647,377,743,15233
431,3643,369,745,15243
432,3623,362,768,15247
433,3598,380,761,15261
434,3554,398,755,15293
435,3551,382,759,15308
436,3554,371,782,15293
437,3541,374,778,15307
438,3530,372,777,15321
439,3514,376,777,15333
440,3517,377,757,15349
441,3526,370,747,15357
442,3552,357,744,15347
443,3536,354,730,15380
444,3555,338,722,15385
445,3570,341,697,15392
446,3563,327,696,15414
447,3566,322,688,15424
448,3579,353,655,15413
449,3595,354,653,15398
450,3597,353,635,15415
451,3566,368,639,15427
452,3567,355,665,15413
453,3578,321,676,15425
454,3592,352,649,15407
455,3599,324,666,15411
456,3591,332,659,15418
457,3613,339,655,15393
458,3613,349,642,15396
459,3618,354,636,15392
460,3640,339,636,15385
461,3636,334,652,15378
462,3651,343,638,15368
463,3670,323,644,15363
464,3697,322,630,15351
465,3710,318,635,15337
466,3723,326,639,15312
467,3741,330,640,15289
468,3720,351,626,15303
469,3708,345,644,15303
470,3722,331,648,15299
471,3734,319,657,15290
472,3734,325,658,15283
473,3719,346,659,15276
474,3740,346,667,15247
475,3725,355,654,15266
476,3757,338,647,15258
477,3760,339,639,15262
478,3772,330,633,15265
479,3770,329,642,15259
480,3798,312,637,15253
481,3822,330,616,15232
482,3823,328,612,15237
483,3823,308,640,15229
484,3832,325,617,15226
485,3816,334,620,15230
486,3815,333,625,15227
487,3827,324,633,15216
488,3824,312,643,15221
489,3836,308,654,15202
490,3853,307,654,15186
