Day,S,E,I,R
0,19970,10,16,4
1,19959,19,17,5
2,19947,23,23,7
3,19933,27,23,17
4,19915,39,25,21
5,19897,47,30,26
6,19867,67,39,27
7,19829,88,50,33
8,19783,107,70,40
9,19731,134,86,49
10,19639,185,114,62
11,19529,234,161,76
12,19373,319,216,92
13,19161,430,292,117
14,18906,573,372,149
15,18606,718,481,195
16,18221,884,627,268
17,17770,1084,795,351
18,17158,1389,999,454
19,16447,1706,1273,574
20,15592,2117,1543,748
21,14570,2535,1946,949
22,13351,3030,2409,1210
23,12071,3480,2939,1510
24,10569,4015,3514,1902
25,9109,4334,4176,2381
26,7664,4526,4909,2901
27,6260,4634,5547,3559
28,4955,4639,6157,4249
29,3840,4440,6645,5075
30,2994,3998,7055,5953
31,2262,3602,7278,6858
32,1710,3186,7282,7822
33,1341,2688,7191,8780
34,1018,2256,7031,9695
35,817,1851,6705,10627
36,668,1510,6385,11437
37,560,1211,5978,12251
38,501,979,5490,13030
39,441,811,5008,13740
40,420,666,4545,14369
41,391,535,4126,14948
42,396,416,3762,15426
43,400,330,3401,15869
44,413,280,3053,16254
45,418,237,2729,16616
46,417,206,2447,16930
47,446,173,2185,17196
48,480,164,1949,17407
49,509,146,1700,17645
50,539,135,1498,17828
51,573,122,1317,17988
52,616,102,1184,18098
53,654,92,1072,18182
54,701,92,960,18247
55,728,84,855,18333
56,785,85,765,18365
57,843,84,670,18403
58,905,67,608,18420
59,976,54,525,18445
60,1029,57,465,18449
61,1093,53,409,18445
62,1131,54,370,18445
63,1187,50,351,18412
64,1235,42,314,18409
65,1280,46,281,18393
66,1344,41,260,18355
67,1399,47,228,18326
68,1446,39,208,18307
69,1502,35,194,18269
70,1545,39,178,18238
71,1610,32,159,18199
72,1674,27,136,18163
73,1718,21,132,18129
74,1768,25,111,18096
75,1814,28,99,18059
76,1855,32,87,18026
77,1923,32,82,17963
78,1991,25,82,17902
79,2035,23,80,17862
80,2089,18,83,17810
81,2140,15,75,17770
82,2195,21,63,17721
83,2241,19,62,17678
84,2303,17,59,17621
85,2356,20,58,17566
86,2407,26,52,17515
87,2455,22,52,17471
88,2504,22,51,17423
89,2554,13,55,17378
90,2594,17,47,17342
91,2641,22,48,17289
92,2673,22,44,17261
93,2713,17,47,17223
94,2765,23,40,17172
95,2799,21,43,17137
96,2861,22,43,17074
97,2911,24,42,17023
98,2968,16,47,16969
99,3020,10,46,16924
100,3060,13,40,16887
101,3105,14,36,16845
102,3156,14,32,16798
103,3197,10,34,16759
104,3252,14,32,16702
105,3299,13,35,16653
106,3346,14,33,16607
107,3402,12,34,16552
108,3441,11,35,16513
109,3491,10,36,16463
110,3544,7,36,16413
111,3589,9,32,16370
112,3636,12,28,16324
113,3680,18,28,16274
114,3725,16,29,16230
115,3752,15,35,16198
116,3797,12,39,16152
117,3853,12,36,16099
118,3894,13,35,16058
119,3938,15,35,16012
120,3977,16,36,15971
121,4022,15,37,15926
122,4073,14,39,15874
123,4117,16,39,15828
124,4151,17,39,15793
125,4192,19,35,15754
126,4229,23,28,15720
127,4266,22,29,15683
128,4311,22,30,15637
129,4368,14,33,15585
130,4407,15,34,15544
131,4451,21,32,15496
132,4489,17,33,15461
133,4527,18,31,15424
134,4579,16,29,15376
135,4624,12,30,15334
136,4661,18,27,15294
137,4700,17,27,15256
138,4737,19,26,15218
139,4771,14,35,15180
140,4812,13,38,15137
141,4842,16,34,15108
142,4874,18,34,15074
143,4904,17,37,15042
144,4947,22,35,14996
145,4973,21,39,14967
146,5006,27,41,14926
147,5040,26,46,14888
148,5090,30,43,14837
149,5118,32,44,14806
150,5158,30,45,14767
151,5196,29,47,14728
152,5222,29,49,14700
153,5250,31,53,14666
154,5275,38,48,14639
155,5313,30,55,14602
156,5338,34,57,14571
157,5361,33,62,14544
158,5388,39,60,14513
159,5429,34,64,14473
160,5455,45,61,14439
161,5479,41,71,14409
162,5505,44,79,14372
163,5532,52,78,14338
164,5569,50,79,14302
165,5601,51,83,14265
166,5633,56,84,14227
167,5659,65,84,14192
168,5688,68,90,14154
169,5709,62,94,14135
170,5735,66,101,14098
171,5766,60,114,14060
172,5778,73,113,14036
173,5790,68,126,14016
174,5796,82,125,13997
175,5814,89,137,13960
176,5823,94,151,13932
177,5827,97,157,13919
178,5827,101,163,13909
179,5841,103,175,13881
180,5848,105,175,13872
181,5864,108,187,13841
182,5882,113,182,13823
183,5876,128,183,13813
184,5878,129,198,13795
185,5866,138,203,13793
186,5869,141,221,13769
187,5852,165,224,13759
188,5842,162,245,13751
189,5825,183,253,13739
190,5808,199,277,13716
191,5799,210,283,13708
192,5770,217,306,13707
193,5755,212,338,13695
194,5720,205,373,13702
195,5692,226,375,13707
196,5649,251,382,13718
197,5614,258,394,13734
198,5584,251,438,13727
199,5505,294,447,13754
200,5459,298,473,13770
201,5405,332,486,13777
202,5339,365,506,13790
203,5251,374,571,13804
204,5177,391,588,13844
205,5096,403,617,13884
206,5014,428,633,13925
207,4934,428,681,13957
208,4844,433,729,13994
209,4727,501,711,14061
210,4642,509,738,14111
211,4571,493,764,14172
212,4493,471,824,14212
213,4393,486,839,14282
214,4292,509,857,14342
215,4211,523,864,14402
216,4122,524,890,14464
217,4029,554,904,14513
218,3935,539,945,14581
219,3864,518,973,14645
220,3767,512,1013,14708
221,3682,556,980,14782
222,3583,556,987,14874
223,3548,516,1003,14933
224,3471,497,1051,14981
225,3388,513,1048,15051
226,3332,494,1055,15119
227,3257,480,1078,15185
228,3199,454,1073,15274
229,3121,474,1057,15348
230,3065,466,1066,15403
231,3033,424,1049,15494
232,2963,423,1010,15604
233,2929,399,1002,15670
234,2915,387,967,15731
235,2876,374,929,15821
236,2856,353,933,15858
237,2850,344,900,15906
238,2829,344,886,15941
239,2825,337,850,15988
240,2805,332,836,16027
241,2791,329,809,16071
242,2800,325,784,16091
243,2794,300,790,16116
244,2788,296,763,16153
245,2803,270,747,16180
246,2813,260,754,16173
247,2840,273,715,16172
248,2843,270,687,16200
249,2866,247,693,16194
250,2872,254,675,16199
251,2886,259,646,16209
252,2913,252,635,16200
253,2904,271,616,16209
254,2909,272,602,16217
255,2900,282,587,16231
256,2917,269,568,16246
257,2921,265,563,16251
258,2940,248,555,16257
259,2954,234,547,16265
260,2968,221,537,16274
261,2978,218,532,16272
262,2998,243,507,16252
263,3016,243,513,16228
264,3034,233,514,16219
265,3062,225,492,16221
266,3103,202,501,16194
267,3128,208,490,16174
268,3154,193,501,16152
269,3175,181,505,16139
270,3197,185,489,16129
